ID,BP_SAP_ID,FAMILIA,PRODUCTO,CANTIDAD_EJEMPLARES,CANT_LUNES,CANT_MARTES,CANT_MIERCOLES,CANT_JUEVES,CANT_VIERNES,CANT_SABADOS,CANT_DOMINGOS
281,23698381,JARDIN,JARDIN SUSCRIPCIONES,0,0,0,0,0,0,0,0
282,23698381,EDITORIAL ATLANTIDA DIGITAL,REVISTA PARA TEENS SUSCRIPCIONES,0,0,0,0,0,0,0,0
283,23694678,CLARIN,CLARIN COMPLETO,3,1,1,1,0,0,0,0
284,23698487,OLE,OLE NACIONAL,7,1,1,1,1,1,1,1
285,23695986,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
286,23689090,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
289,23690482,ELLE DIGITAL,ELLE DIGITAL,0,0,0,0,0,0,0,0
287,23691351,EDITORIAL TELEVISA,REVISTA VANIDADES,0,0,0,0,0,0,0,0
288,23686851,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
290,23688357,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
291,23698381,EDITORIAL TELEVISA,REVISTA NATIONAL GEOGRAPHIC,0,0,0,0,0,0,0,0
292,23694643,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
293,23680253,CLARIN,CLARIN COMPLETO,3,1,0,1,0,1,0,0
296,23683828,CLARIN,CLARIN COMPLETO,2,0,0,1,0,0,0,1
297,23680953,CLARIN,CLARIN COMPLETO,3,1,0,0,0,0,1,1
295,23683836,CLARIN,CLARIN COMPLETO,3,1,0,1,0,0,1,0
298,23686614,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
299,23689422,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
300,23693352,OLE,OLE NACIONAL,7,1,1,1,1,1,1,1
301,23693712,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
302,23699802,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
294,23681286,CLARIN,CLARIN COMPLETO,3,1,0,1,0,1,0,0
303,23682368,CLARIN,CLARIN COMPLETO,3,1,0,0,0,0,1,1
304,23685723,CLARIN,CLARIN COMPLETO,2,1,0,0,1,0,0,0
305,23691351,REVISTAS CLARIN,REVISTA Ñ SUSCRIPCIONES,0,0,0,0,0,0,0,0
306,23685251,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
307,23684329,CLARIN,CLARIN COMPLETO,3,0,0,0,0,1,1,1
