ID,BP_SAP_ID,FAMILIA,PRODUCTO,CANTIDAD_EJEMPLARES,CANT_LUNES,CANT_MARTES,CANT_MIERCOLES,CANT_JUEVES,CANT_VIERNES,CANT_SABADOS,CANT_DOMINGOS
309,23694678,CLARIN,CLARIN COMPLETO,3,1,1,1,0,0,0,0
308,23698487,OLE,OLE NACIONAL,7,1,1,1,1,1,1,1
312,23694643,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
311,23695986,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
310,23698381,EDITORIAL ATLANTIDA DIGITAL,REVISTA PARA TEENS SUSCRIPCIONES,0,0,0,0,0,0,0,0
315,23688357,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,1,0
316,23691351,EDITORIAL TELEVISA,REVISTA VANIDADES,0,0,0,0,0,0,0,0
313,23686614,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
314,23689090,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
317,23686851,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
318,23698381,EDITORIAL TELEVISA,REVISTA NATIONAL GEOGRAPHIC,0,0,0,0,0,0,0,0
319,23693712,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
320,23699802,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
321,23698381,JARDIN,JARDIN SUSCRIPCIONES,0,0,0,0,0,0,0,0
322,23693352,OLE,OLE NACIONAL,7,1,1,1,1,1,1,1
324,23683836,CLARIN,CLARIN COMPLETO,3,1,0,1,0,0,1,0
323,23680953,CLARIN,CLARIN COMPLETO,3,1,0,0,0,0,1,1
326,23680253,CLARIN,CLARIN COMPLETO,3,1,0,1,0,1,0,0
328,23691351,REVISTAS CLARIN,REVISTA Ñ SUSCRIPCIONES,0,0,0,0,0,0,0,0
329,23689422,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
327,23685723,CLARIN,CLARIN COMPLETO,2,1,0,0,1,0,0,0
330,23690482,ELLE DIGITAL,ELLE DIGITAL,0,0,0,0,0,0,0,0
331,23685251,CLARIN,CLARIN COMPLETO,1,0,0,0,0,0,0,1
325,23681286,CLARIN,CLARIN COMPLETO,3,1,0,1,0,1,0,0
333,23684329,CLARIN,CLARIN COMPLETO,3,0,0,0,0,1,1,1
332,23682368,CLARIN,CLARIN COMPLETO,3,1,0,0,0,0,1,1
334,23683828,CLARIN,CLARIN COMPLETO,2,0,0,1,0,0,0,1
